Year,Month,Day,Hour,PM_Indoor,IBMS_SNSR-PM2.5-HW154_624-105-001_TR,IBMS_SNSR-PM2.5-HW159_624-201-001_TR,IBMS_SNSR-PM2.5-HW640_624-205-001_TR,IBMS_SNSR-PM2.5-HW610_624-206-001_TR,IBMS_SNSR-PM2.5-HW930_624-301-001_TR,IBMS_SNSR-PM2.5-HW804_624-305-001_TR,IBMS_SNSR-PM2.5-HW643_624-306-001_TR,IBMS_SNSR-PM2.5-HW223_624-307-001_TR,IBMS_SNSR-PM2.5-HW999_624-405-001_TR,IBMS_SNSR-PM2.5-HW719_624-406-001_TR,Outdoor-Avg Temp,Outdoor-Avg RH,Indoor-Avg Temp,Indoor-Avg RH,CO2_Indoor,PM_Outdoor,CO2_Outdoor
2016,12,10,0,13.1,13.8,10.5,9,9.6,10.2,6.7,10.4,12.4,10.4,9.2,10,70.1,22.3,43.1,413.4,32,400
2016,12,10,1,13.1,13,12.8,7.8,8.2,10.8,7.6,13,9.8,13,9.5,10,73,22.3,43.6,412.5,29,400
2016,12,10,2,13,12.2,11.3,10.1,9.4,9.8,8.3,13.1,10.7,11.7,10.3,10,73.2,22.2,43.7,409.8,23,400
2016,12,10,3,12.9,10.4,11.1,9.5,8.8,10.2,7.9,13.6,9.6,13.5,8.2,9.9,73.1,22.2,43.8,401,24,400
2016,12,10,4,12.3,10.4,8.4,9.7,7.7,8.5,8.8,9.2,10,11,8.9,8.9,76.2,22.1,43.9,398.7,14,400
2016,12,10,5,9.3,6.6,7.8,7.6,8.2,8.6,7.3,9.7,10.3,10.6,6.4,9.2,75.9,22.1,44.1,397.9,21,400
2016,12,10,6,8.4,5,7.3,7,6,7.8,5.8,7.9,7.8,8.7,4.8,9.8,71.4,22,44.1,395.2,16,400
2016,12,10,7,6.9,6.2,6.3,5.1,4.6,6.7,5.3,7.1,6.5,6.9,4.5,9.1,73.6,22,44.2,395,11,400
2016,12,10,8,5.5,5.4,6.4,4.1,5.1,4.7,5.1,5.3,5.5,7,5,11.3,64.3,22,43.9,394.8,13,400
2016,12,10,9,6.3,5,4.8,4,3.8,4.2,2.7,3.8,4,6.2,3.7,12.7,57.8,22,43.8,404.9,16,400
2016,12,10,10,5.5,4.9,5.2,4.1,3.6,4.4,3.5,5.3,5,4.7,3.7,15.4,51.2,22.1,44,397.3,24,400
2016,12,10,11,5.4,8.4,8.9,9.9,10.4,3.5,4.3,4.2,5.1,5,3.4,16.9,47.1,22.1,42.3,409.1,20,400
2016,12,10,12,4.7,5.3,4.1,3.7,3.4,3.1,2.6,1.8,2.7,3.1,2,15.4,48.4,22.3,40.8,429.3,23,400
2016,12,10,13,3.8,2.9,2.4,1.2,1.9,1,1.3,0.8,1.7,0.8,0.4,13.8,52.7,22.7,39.2,419.5,29,400
2016,12,10,14,3.1,4.2,2.5,1.2,1.9,1.7,0.8,1.1,1.3,0.6,0.9,14.4,50.5,22.9,38.1,423.6,20,400
2016,12,10,15,2.4,3.3,3.2,1.5,2.5,1.2,0.2,2.1,0.8,1,0.7,14,51.2,22.9,39.6,426.8,25,400
2016,12,10,16,4.1,3.8,2.6,1,1.8,1,0.3,0.6,0.9,1,0.6,12.5,55.3,23,39.9,437.2,27,400
2016,12,10,17,4,4.7,2.5,1.3,2.2,1.4,0.2,1.3,1.3,1.1,0.9,11.4,60.9,23,40,435.6,22,400
2016,12,10,18,2.5,3.9,2.8,2.3,2,1.8,0.4,2.1,1.6,1.3,1.1,10.7,66.4,23.1,40.4,429.1,21,400
2016,12,10,19,4.3,4.7,3.9,1.7,2.3,2,0.3,1.8,0.9,1.9,1.6,10.2,67.5,23.1,40.5,429.4,28,400
2016,12,10,20,3.5,3.8,2.9,2.7,1.9,1.6,1.3,2.1,1.4,0.8,1.1,10.1,69.3,23.1,40.1,426.4,28,400
2016,12,10,21,4,4.7,4.9,3.1,2.5,1.8,1.6,0.9,1.9,1.4,1.8,9.8,70,23.3,41.2,436,24,400
2016,12,10,22,3.5,4.2,4.9,2.4,1.9,2.4,0.2,0.5,1.7,1.9,1.9,9.9,71,23.2,41.7,436.8,20,400
2016,12,10,23,3,2.3,4.2,2.1,2.5,1.8,0.2,0.6,1.9,1.5,1,9.7,68.9,23.1,41.9,425,19,400
