Year,Month,Day,Hour,PM_Indoor,IBMS_SNSR-PM2.5-HW154_624-105-001_TR,IBMS_SNSR-PM2.5-HW159_624-201-001_TR,IBMS_SNSR-PM2.5-HW640_624-205-001_TR,IBMS_SNSR-PM2.5-HW610_624-206-001_TR,IBMS_SNSR-PM2.5-HW930_624-301-001_TR,IBMS_SNSR-PM2.5-HW804_624-305-001_TR,IBMS_SNSR-PM2.5-HW643_624-306-001_TR,IBMS_SNSR-PM2.5-HW223_624-307-001_TR,IBMS_SNSR-PM2.5-HW999_624-405-001_TR,IBMS_SNSR-PM2.5-HW719_624-406-001_TR,Outdoor-Avg Temp,Outdoor-Avg RH,Indoor-Avg Temp,Indoor-Avg RH,CO2_Indoor,PM_Outdoor,CO2_Outdoor
2016,10,11,10,15,15,15,15,15,15,15,15,15,15,15,24.8,50.4,23,53.8,529.2,12,400
2016,10,11,11,15,15,15,15,15,15,15,15,15,15,15,25.4,47.1,23.1,54.6,556.2,8,400
2016,10,11,12,15,15,15,15,15,15,15,15,15,15,15,26.5,41,23.3,53.4,565.2,10,400
2016,10,11,13,15,15,15,15,15,15,15,15,15,15,15,25.3,37.5,23.3,52.5,573.2,10,400
2016,10,11,14,15,15,15,15,15,15,15,15,15,15,15,26.1,40.6,23.4,52.4,604.4,19,400
2016,10,11,15,15,15,15,15,15,15,15,15,15,15,15,23.3,53.5,23.5,53.7,626.4,16,400
2016,10,11,16,15,15,15,15,15,15,15,15,15,15,15,22.2,56.8,23.3,53.1,631.4,5,400
2016,10,11,17,15,15,15,15,15,15,15,15,15,15,15,20.9,62,23.3,52.7,629.3,4,400
2016,10,11,18,15,15,15,15,15,15,15,15,15,15,15,18.4,63.6,23.2,52.8,568.8,13,400
2016,10,11,19,15,15,15,15,15,15,15,15,15,15,15,19.7,64,23.1,51.9,503.7,9,400
2016,10,11,20,15,15,15,15,15,15,15,15,15,15,15,17.6,64.9,23,51.9,470.7,9,400
2016,10,11,21,15,15,15,15,15,15,15,15,15,15,15,20.5,66.8,23.2,55.3,452.2,17,400
2016,10,11,22,15,15,15,15,15,15,15,15,15,15,15,19.7,65.4,23.3,56.9,439.2,14,400
2016,10,11,23,15,15,15,15,15,15,15,15,15,15,15,20.1,67.2,23.3,57.5,429.5,8,400
2016,10,12,0,15,15,15,15,15,15,15,15,15,15,15,20.1,68.5,23.3,58.2,427.5,9,400
2016,10,12,1,15,15,15,15,15,15,15,15,15,15,15,19.7,67.5,23.3,58.8,421.1,11,400
2016,10,12,2,15,15,15,15,15,15,15,15,15,15,15,19.9,67.3,23.3,59.2,418.4,15,400
2016,10,12,3,15,15,15,15,15,15,15,15,15,15,15,17.2,68.1,23.3,59.9,411.9,16,400
2016,10,12,4,15,15,15,15,15,15,15,15,15,15,15,19.3,70.5,23.3,60.5,407.9,17,400
2016,10,12,5,15,15,15,15,15,15,15,15,15,15,15,17.1,77.2,23.3,60.8,408.5,5,400
2016,10,12,6,15,15,15,15,15,15,15,15,15,15,15,16,90.1,23.1,56.5,434.4,15,400
2016,10,12,7,15,15,15,15,15,15,15,15,15,15,15,18.3,89.2,23,55.2,446.1,15,400
2016,10,12,8,15,15,15,15,15,15,15,15,15,15,15,19,77.9,23,54.5,457.4,14,400
2016,10,12,9,15,15,15,15,15,15,15,15,15,15,15,20.5,68.9,23,53.9,469.3,28,400
2016,10,12,10,15,15,15,15,15,15,15,15,15,15,15,19.3,58.3,23,54.3,481.8,18,400
2016,10,12,11,15,15,15,15,15,15,15,15,15,15,15,22,58.5,23,53.9,482.4,24,400
2016,10,12,12,15,15,15,15,15,15,15,15,15,15,15,21.4,56.4,23.1,53.9,497.7,33,400
2016,10,12,13,15,15,15,15,15,15,15,15,15,15,15,21.8,62.8,23,53.4,503.7,30,400
2016,10,12,14,15,15,15,15,15,15,15,15,15,15,15,21.9,59.4,23,53.6,505.8,29,400
2016,10,12,15,15,15,15,15,15,15,15,15,15,15,15,21.5,61.7,23,54.5,516.2,38,400
2016,10,12,16,15,15,15,15,15,15,15,15,15,15,15,19.6,64.5,23,53.3,526.6,42,400
2016,10,12,17,15,15,15,15,15,15,15,15,15,15,15,20.5,67.3,23,53.6,529.7,38,400
2016,10,12,18,15,15,15,15,15,15,15,15,15,15,15,20.8,67.3,23,53.2,514.7,43,400
2016,10,12,19,15,15,15,15,15,15,15,15,15,15,15,20.2,69.4,22.9,53.3,490,50,400
2016,10,12,20,15,15,15,15,15,15,15,15,15,15,15,19.9,72.7,22.9,53.3,498.7,54,400
2016,10,12,21,15,15,15,15,15,15,15,15,15,15,15,20.5,74.5,23.1,56.3,489.1,53,400
2016,10,12,22,15,15,15,15,15,15,15,15,15,15,15,18,75.2,23.2,58.1,471.8,60,400
2016,10,12,23,15,15,15,15,15,15,15,15,15,15,15,20.6,75.2,23.2,59.5,459.7,55,400
2016,10,13,0,15,15,15,15,15,15,15,15,15,15,15,19.9,75.5,23.2,60.3,446.8,54,400
2016,10,13,1,15,15,15,15,15,15,15,15,15,15,15,20.3,75.6,23.3,60.8,436.3,44,400
2016,10,13,2,15,15,15,15,15,15,15,15,15,15,15,18.7,76.6,23.3,61.3,434.3,27,400
2016,10,13,3,15,15,15,15,15,15,15,15,15,15,15,19.8,76.5,23.3,61.7,428,18,400
2016,10,13,4,15,15,15,15,15,15,15,15,15,15,15,18.7,71.8,23.3,61.6,428.6,17,400
2016,10,13,5,15,15,15,15,15,15,15,15,15,15,15,19.8,68.6,23.3,61.5,423.2,14,400
2016,10,13,6,15,15,15,15,15,15,15,15,15,15,15,17.4,67.6,23.1,56.9,438.8,8,400
2016,10,13,7,15,15,15,15,15,15,15,15,15,15,15,18.9,65,23,54.6,444.7,7,400
2016,10,13,8,15,15,15,15,15,15,15,15,15,15,15,19.8,63.9,22.9,53.2,445.6,13,400
2016,10,13,9,15,15,15,15,15,15,15,15,15,15,15,20.1,60.2,22.9,53.6,476.6,18,400
2016,10,13,10,15,15,15,15,15,15,15,15,15,15,15,18.5,59.9,23,53.2,505.2,16,400
2016,10,13,11,15,15,15,15,15,15,15,15,15,15,15,20.6,61.4,23,52.9,557.1,22,400
2016,10,13,12,15,15,15,15,15,15,15,15,15,15,15,21.4,63.3,23,53.5,535.8,9,400
2016,10,13,13,15,15,15,15,15,15,15,15,15,15,15,19.4,66,23,53.8,531.3,7,400
2016,10,13,14,15,15,15,15,15,15,15,15,15,15,15,20.8,63.8,23,53.2,524.3,11,400
2016,10,13,15,15,15,15,15,15,15,15,15,15,15,15,19.9,65.1,23,54.1,531.8,16,400
2016,10,13,16,15,15,15,15,15,15,15,15,15,15,15,20.4,64.8,23,53.3,535.8,10,400
2016,10,13,17,15,15,15,15,15,15,15,15,15,15,15,19.2,64.2,23,52.8,523.1,14,400
2016,10,13,18,15,15,15,15,15,15,15,15,15,15,15,19.4,66.2,22.9,52.9,508,24,400
2016,10,13,19,15,15,15,15,15,15,15,15,15,15,15,19.3,68.7,22.9,52.9,493.8,28,400
2016,10,13,20,15,15,15,15,15,15,15,15,15,15,15,19,72.8,22.9,52.9,493.2,18,400
2016,10,13,21,15,15,15,15,15,15,15,15,15,15,15,17.5,72.1,23.1,56,483.4,27,400
2016,10,13,22,15,15,15,15,15,15,15,15,15,15,15,19.6,77.8,23.1,57.8,469.3,25,400
2016,10,13,23,15,15,15,15,15,15,15,15,15,15,15,20.2,76.8,23.2,59.3,458.2,32,400
2016,10,14,0,15,15,15,15,15,15,15,15,15,15,15,19.9,79.5,23.2,59.7,446.6,26,400
2016,10,14,1,15,15,15,15,15,15,15,15,15,15,15,17.8,80.6,23.2,60.7,438.6,37,400
2016,10,14,2,15,15,15,15,15,15,15,15,15,15,15,19.4,79.7,23.2,61.4,438.8,29,400
2016,10,14,3,15,15,15,15,15,15,15,15,15,15,15,18.8,84.8,23.2,62.4,430.9,30,400
2016,10,14,4,15,15,15,15,15,15,15,15,15,15,15,18.7,92.6,23.2,63.2,426.6,29,400
2016,10,14,5,15,15,15,15,15,15,15,15,15,15,15,17.3,84.3,23.2,63.2,423,13,400
2016,10,14,6,15,15,15,15,15,15,15,15,15,15,15,17.2,86.8,23,58.2,444.6,16,400
2016,10,14,7,15,15,15,15,15,15,15,15,15,15,15,17.8,82.1,22.9,56.2,460.2,32,400
2016,10,14,8,15,15,15,15,15,15,15,15,15,15,15,19.9,79.9,22.9,55.2,491.2,29,400
2016,10,14,9,15,15,15,15,15,15,15,15,15,15,15,20.9,80.2,22.9,55.8,513.2,20,400
2016,10,14,10,15,15,15,15,15,15,15,15,15,15,15,19.5,81.7,23,55.9,528.4,24,400
2016,10,14,11,15,15,15,15,15,15,15,15,15,15,15,19.5,72.6,23,56.8,574,35,400
2016,10,14,12,15,15,15,15,15,15,15,15,15,15,15,20.5,70.8,23,55.9,575.1,31,400
2016,10,14,13,15,15,15,15,15,15,15,15,15,15,15,19.4,74,23.1,56,556.6,24,400
2016,10,14,14,15,15,15,15,15,15,15,15,15,15,15,20.9,68.2,23.1,55.9,555.4,31,400
2016,10,14,15,15,15,15,15,15,15,15,15,15,15,15,22.3,68.6,23.1,55.9,554.2,31,400
