Time,Outdoor-Avg Temp,Outdoor-Avg RH,Indoor-Avg Temp,Indoor-Avg RH,Indoor-Avg CO2
4/2/15 0:00,17.3,92.1,22.7,70.3,436.5
4/2/15 0:15,17.4,91.9,22.7,70.9,435.1
4/2/15 0:30,17.4,91.8,22.7,70.5,427.8
4/2/15 0:45,17.5,91.2,22.7,70.4,424.6
4/2/15 1:00,17.6,90.6,22.7,71,418.8
4/2/15 1:15,17.8,89.6,22.7,70.6,418.8
4/2/15 1:30,18,88.6,22.7,70.8,412.4
4/2/15 1:45,18,88.3,22.7,71.3,411.2
4/2/15 2:00,18,88.1,22.7,70.8,410.4
4/2/15 2:15,18,88,22.7,70.6,411.3
4/2/15 2:30,18,87.8,22.7,71.4,407.7
4/2/15 2:45,18.1,87.3,22.7,70.8,406.2
4/2/15 3:00,18.1,86.9,22.7,71.1,406.8
4/2/15 3:15,18.2,86.7,22.7,71.1,401.5
4/2/15 3:30,18.3,85.8,22.7,70.6,398.9
4/2/15 3:45,18.4,85.2,22.7,71.4,398.6
4/2/15 4:00,18.4,84.9,22.7,71.1,397.5
4/2/15 4:15,18.5,84.1,22.7,70.8,397.7
4/2/15 4:30,18.5,83.5,22.7,71.3,395.1
4/2/15 4:45,18.5,82.8,22.7,70.9,396.3
4/2/15 5:00,18.5,82.2,22.7,71.2,392.4
4/2/15 5:15,18.6,80.9,22.7,71,393.8
4/2/15 5:30,18.7,80,22.7,70.8,391.1
4/2/15 5:45,18.8,79.4,22.7,71.5,393.5
4/2/15 6:00,19,77.9,22.7,70.8,395.3
4/2/15 6:15,19.4,76.8,22.7,70.8,391.8
4/2/15 6:30,19.8,75,22.7,71.3,389.9
4/2/15 6:45,20.1,74.2,22.7,70.6,391.3
4/2/15 7:00,20.9,71.5,22.7,70.7,388.2
4/2/15 7:15,21.4,69.7,22.8,70.9,387.4
4/2/15 7:30,22.2,66.8,22.8,70.4,398.9
4/2/15 7:45,22.8,65.1,22.9,70.4,400.9
4/2/15 8:00,23.3,63.6,22.9,71,401.7
4/2/15 8:15,23.8,61.4,23,69.9,419.7
4/2/15 8:30,24.8,58.9,23,69.9,436.5
4/2/15 8:45,25.2,57.8,23.1,70.9,459.3
4/2/15 9:00,24.7,59.3,23.1,70.2,471.8
4/2/15 9:15,25,59.3,23.2,70,476.6
4/2/15 9:30,25.4,58.7,23.2,70.3,495.2
4/2/15 9:45,26.2,55.9,23.3,69.9,514.9
4/2/15 10:00,27.3,53.4,23.4,70.5,540
4/2/15 10:15,27.9,52.1,23.4,70.8,564.3
4/2/15 10:30,28.8,50.2,23.5,70.8,569.2
4/2/15 10:45,28.8,50.6,23.5,70.5,579.2
4/2/15 11:00,28.8,50.6,23.6,70.6,589.2
4/2/15 11:15,28.9,50.1,23.7,71.1,598
4/2/15 11:30,29,49.3,23.7,71.1,591.9
4/2/15 11:45,29.5,49.7,23.7,70.8,575.4
4/2/15 12:00,29.6,49.7,23.7,70.8,552.9
4/2/15 12:15,30,48.8,23.7,70.8,544.8
4/2/15 12:30,30.3,48.1,23.8,71.2,535.7
4/2/15 12:45,30.2,48.7,23.8,71.7,537
4/2/15 13:00,30.7,47.3,23.8,71.4,528.1
4/2/15 13:15,31.1,46.8,23.9,71.2,537.2
4/2/15 13:30,30.6,47.9,24,70.9,534.6
4/2/15 13:45,30.9,47.8,24.1,70.9,553.8
4/2/15 14:00,31.2,46.4,24,70,558.8
4/2/15 14:15,30.7,47.8,23.4,67.7,580.1
4/2/15 14:30,30.3,48.8,23.1,68.3,593.9
4/2/15 14:45,30.5,48.3,22.9,68,609.8
