time_weather,DBT,RH,AH
1/1/17 0:00,9.5,87.56,0.009760555
1/1/17 1:00,11.5,87.56,0.011074914
1/1/17 2:00,12.5,90.555,0.012191261
1/1/17 3:00,13.5,93.55,0.013398745
1/1/17 4:00,14,93.5,0.013809987
1/1/17 5:00,14.5,93.475,0.014235905
1/1/17 6:00,15,93.5,0.014681013
1/1/17 7:00,15,93.5,0.014681013
1/1/17 8:00,14,93.5,0.013809987
1/1/17 9:00,13,93.5,0.012984251
1/1/17 10:00,13,93.575,0.012994666
1/1/17 11:00,12,87.65,0.011438384
1/1/17 12:00,11,84.82,0.010396802
1/1/17 13:00,11.5,76.98,0.009736717
1/1/17 14:00,12,72.01,0.009397353
1/1/17 15:00,12,74.495,0.009721648
1/1/17 16:00,11.5,79.47,0.010051661
1/1/17 17:00,11,76.82,0.009416202
1/1/17 18:00,10,79.405,0.009137276
1/1/17 19:00,9.5,76.66,0.008545502
1/1/17 20:00,10,79.265,0.009121166
1/1/17 21:00,10,79.12,0.00910448
1/1/17 22:00,10,87.37,0.010053822
1/1/17 23:00,10,93.45,0.010753459
1/2/17 0:00,11.5,90.34,0.011426539
1/2/17 1:00,13,90.34,0.012545425
1/2/17 2:00,13,90.34,0.012545425
1/2/17 3:00,15,90.34,0.014184842
1/2/17 4:00,15,93.425,0.014669237
1/2/17 5:00,15,90.34,0.014184842
1/2/17 6:00,14,93.375,0.013791525
1/2/17 7:00,14,93.35,0.013787832
1/2/17 8:00,13.5,93.35,0.0133701
1/2/17 9:00,13,93.35,0.012963421
1/2/17 10:00,12.5,93.425,0.012577644
1/2/17 11:00,11.5,87.37,0.011050882
1/2/17 12:00,10,84.555,0.009729895
1/2/17 13:00,9,84.605,0.009134995
1/2/17 14:00,8.5,81.87,0.008560989
1/2/17 15:00,8.5,74.07,0.007745358
1/2/17 16:00,8.5,71.64,0.007491257
1/2/17 17:00,8.5,64.905,0.006786991
1/2/17 18:00,8.5,67.165,0.007023315
1/2/17 19:00,8.5,74.07,0.007745358
1/2/17 20:00,7.5,76.5,0.007500028
1/2/17 21:00,7,76.34,0.0072455
1/2/17 22:00,7,76.34,0.0072455
1/2/17 23:00,7,81.74,0.007758019
1/3/17 0:00,8.5,79.04,0.008265061
1/3/17 1:00,10,81.74,0.009405968
1/3/17 2:00,10.5,81.74,0.0097084
1/3/17 3:00,11,81.74,0.010019271
1/3/17 4:00,12,84.67,0.011049492
1/3/17 5:00,12.5,81.87,0.011022015
1/3/17 6:00,13,81.87,0.011369204
1/3/17 7:00,14,84.67,0.012505793
1/3/17 8:00,13.5,87.47,0.012527934
1/3/17 9:00,12.5,84.67,0.011398974
1/3/17 10:00,12,84.775,0.011063195
1/3/17 11:00,11,79.405,0.009733059
1/3/17 12:00,11,74.495,0.009131216
1/3/17 13:00,11,74.59,0.00914286
1/3/17 14:00,11,72.2,0.008849907
1/3/17 15:00,11,72.2,0.008849907
1/3/17 16:00,11,72.105,0.008838262
1/3/17 17:00,11,72.01,0.008826617
1/3/17 18:00,11.5,74.415,0.009412286
1/3/17 19:00,12,76.82,0.010025062
1/3/17 20:00,12,76.82,0.010025062
1/3/17 21:00,11.5,76.91,0.009727863
1/3/17 22:00,11,76.66,0.00939659
1/3/17 23:00,11.5,76.66,0.009696242
1/4/17 0:00,12.5,82.11,0.011054326
1/4/17 1:00,13.5,84.715,0.012133348
1/4/17 2:00,15,81.87,0.012854915
1/4/17 3:00,15.5,84.67,0.013704905
1/4/17 4:00,16,93.55,0.015607734
1/4/17 5:00,16,93.55,0.015607734
1/4/17 6:00,15.5,93.55,0.015142245
1/4/17 7:00,15,93.55,0.014688864
1/4/17 8:00,14.5,93.55,0.014247327
1/4/17 9:00,14,93.55,0.013817372
1/4/17 10:00,14,90.485,0.013364671
1/4/17 11:00,13.5,93.55,0.013398745
1/4/17 12:00,13,93.55,0.012991194
1/4/17 13:00,13,93.5,0.012984251
1/4/17 14:00,12.5,90.51,0.012185203
1/4/17 15:00,12,90.51,0.011811616
1/4/17 16:00,12,93.55,0.012208338
1/4/17 17:00,11.5,93.55,0.011832552
1/4/17 18:00,11,93.55,0.01146688
1/4/17 19:00,11,96.775,0.011862184
1/4/17 20:00,11,93.525,0.011463816
1/4/17 21:00,11,93.5,0.011460752
1/4/17 22:00,11,93.5,0.011460752
1/4/17 23:00,11,93.5,0.011460752
1/5/17 0:00,10.5,93.5,0.011105155
1/5/17 1:00,11,93.5,0.011460752
1/5/17 2:00,11,93.5,0.011460752
1/5/17 3:00,10,93.5,0.010759213
1/5/17 4:00,11,93.5,0.011460752
1/5/17 5:00,11,96.75,0.01185912
1/5/17 6:00,11,100,0.012257488
1/5/17 7:00,11,100,0.012257488
1/5/17 8:00,11,93.55,0.01146688
1/5/17 9:00,10.5,96.775,0.011494132
1/5/17 10:00,10.5,96.8,0.011497102
1/5/17 11:00,10,93.6,0.01077072
1/5/17 12:00,10,96.825,0.011141826
1/5/17 13:00,10,90.65,0.010431258
1/5/17 14:00,10,87.74,0.010096399
1/5/17 15:00,10,84.93,0.009773047
1/5/17 16:00,10,87.74,0.010096399
1/5/17 17:00,10,87.74,0.010096399
1/5/17 18:00,10,87.74,0.010096399
1/5/17 19:00,10,93.65,0.010776473
1/5/17 20:00,10,93.65,0.010776473
1/5/17 21:00,10,90.65,0.010431258
1/5/17 22:00,11,90.65,0.011111413
1/5/17 23:00,11,87.65,0.010743688
1/6/17 0:00,11.5,90.625,0.011462587
1/6/17 1:00,12,93.6,0.012214863
1/6/17 2:00,12.5,93.6,0.012601204
1/6/17 3:00,13,93.6,0.012998138
1/6/17 4:00,14,93.65,0.013832142
1/6/17 5:00,14,90.65,0.013389041
1/6/17 6:00,14,100,0.01477004
1/6/17 7:00,14,93.65,0.013832142
1/6/17 8:00,14,93.65,0.013832142
1/6/17 9:00,13,93.65,0.013005081
1/6/17 10:00,13,93.65,0.013005081
1/6/17 11:00,13,93.65,0.013005081
1/6/17 12:00,13,96.845,0.013448768
1/6/17 13:00,13,96.845,0.013448768
1/6/17 14:00,12.5,93.69,0.012613321
1/6/17 15:00,12,93.69,0.012226608
1/6/17 16:00,12,96.845,0.012638338
1/6/17 17:00,12,93.69,0.012226608
1/6/17 18:00,13,93.67,0.013007859
1/6/17 19:00,13,96.8,0.013442519
1/6/17 20:00,12,96.775,0.012629203
1/6/17 21:00,13,93.525,0.012987723
1/6/17 22:00,13,93.5,0.012984251
1/6/17 23:00,13,93.475,0.012980779
1/7/17 0:00,13,93.45,0.012977307
1/7/17 1:00,13,90.365,0.012548897
1/7/17 2:00,13.5,87.28,0.012500721
1/7/17 3:00,13.5,93.4,0.013377261
1/7/17 4:00,14,93.4,0.013795217
1/7/17 5:00,14,87.19,0.012877998
1/7/17 6:00,13.5,87.19,0.012487831
1/7/17 7:00,14,87.19,0.012877998
1/7/17 8:00,13.5,87.19,0.012487831
1/7/17 9:00,11.5,87.19,0.011028115
1/7/17 10:00,11,87.19,0.010687304
1/7/17 11:00,10.5,87.19,0.010355706
1/7/17 12:00,10,87.19,0.01003311
1/7/17 13:00,9.5,87.19,0.00971931
1/7/17 14:00,9,87.19,0.009414103
1/7/17 15:00,9,87.19,0.009414103
1/7/17 16:00,9,87.19,0.009414103
1/7/17 17:00,8,87.19,0.008828677
1/7/17 18:00,8,87.19,0.008828677
1/7/17 19:00,8,87.19,0.008828677
1/7/17 20:00,8,87.19,0.008828677
1/7/17 21:00,8,84.215,0.008527435
1/7/17 22:00,8,90.22,0.009135489
1/7/17 23:00,8,93.35,0.009452426
1/8/17 0:00,8,93.35,0.009452426
1/8/17 1:00,8,93.35,0.009452426
1/8/17 2:00,8,87.09,0.008818552
1/8/17 3:00,8,81.135,0.008215561
1/8/17 4:00,8,75.675,0.007662692
1/8/17 5:00,8,70.28,0.007116406
1/8/17 6:00,8,70.08,0.007096154
1/8/17 7:00,8,70.08,0.007096154
1/8/17 8:00,8,72.705,0.007361956
1/8/17 9:00,8,70.08,0.007096154
1/8/17 10:00,8,70.08,0.007096154
1/8/17 11:00,7.5,63.205,0.006196592
1/8/17 12:00,7,59.015,0.005601169
1/8/17 13:00,7,61.03,0.005792414
1/8/17 14:00,7,57,0.005409923
1/8/17 15:00,7,53.135,0.005043092
1/8/17 16:00,7,57,0.005409923
1/8/17 17:00,6.5,61.03,0.005606816
1/8/17 18:00,6,61.03,0.005426435
1/8/17 19:00,6,58.885,0.005235714
1/8/17 20:00,5,58.885,0.004902255
1/8/17 21:00,5,63.085,0.005251911
1/8/17 22:00,5,60.79,0.005060849
1/8/17 23:00,5,60.79,0.005060849
1/9/17 0:00,5,60.82,0.005063347
1/9/17 1:00,6.5,67.62,0.006212238
1/9/17 2:00,7.5,65.16,0.006388259
1/9/17 3:00,7,69.98,0.006641867
1/9/17 4:00,8,72.62,0.00735335
1/9/17 5:00,8.5,75.16,0.007859337
1/9/17 6:00,8,75.16,0.007610545
1/9/17 7:00,7,70.08,0.006651358
1/9/17 8:00,7,75.16,0.007133505
1/9/17 9:00,7,75.245,0.007141573
1/9/17 10:00,7,70.28,0.00667034
1/9/17 11:00,6,68.045,0.006050169
1/9/17 12:00,6,61.28,0.005448664
1/9/17 13:00,6,63.555,0.005650944
1/9/17 14:00,5.5,61.52,0.005293308
1/9/17 15:00,5,65.83,0.005480436
1/9/17 16:00,5,65.83,0.005480436
1/9/17 17:00,4.5,65.83,0.005301955
1/9/17 18:00,4.5,65.72,0.005293096
1/9/17 19:00,4,63.32,0.004933035
1/9/17 20:00,4,61.03,0.004754629
1/9/17 21:00,5,68.045,0.005664838
1/9/17 22:00,4,68.045,0.005301143
1/9/17 23:00,4.5,70.48,0.005676467
1/10/17 0:00,6,68.045,0.006050169
1/10/17 1:00,7,70.28,0.00667034
1/10/17 2:00,8,75.5,0.007644972
1/10/17 3:00,8,75.5,0.007644972
1/10/17 4:00,9,72.89,0.007870099
1/10/17 5:00,8,70.28,0.007116406
1/10/17 6:00,8,70.28,0.007116406
1/10/17 7:00,8,67.83,0.006868324
1/10/17 8:00,7.5,70.28,0.006890222
1/10/17 9:00,7,67.83,0.006437808
1/10/17 10:00,7,67.945,0.006448723
1/10/17 11:00,7,65.61,0.006227106
1/10/17 12:00,7,61.28,0.005816142
1/10/17 13:00,7,61.28,0.005816142
1/10/17 14:00,7,61.28,0.005816142
1/10/17 15:00,6,63.555,0.005650944
1/10/17 16:00,6,59.14,0.005258387
1/10/17 17:00,6,57,0.005068111
1/10/17 18:00,6,57,0.005068111
1/10/17 19:00,6,57,0.005068111
1/10/17 20:00,6,56.87,0.005056552
1/10/17 21:00,6,61.03,0.005426435
1/10/17 22:00,6,61.03,0.005426435
1/10/17 23:00,6,61.03,0.005426435
1/11/17 0:00,6.5,61.03,0.005606816
1/11/17 1:00,7,58.885,0.00558883
1/11/17 2:00,8,72.89,0.007380689
1/11/17 3:00,8,78.285,0.007926976
1/11/17 4:00,8,78.285,0.007926976
1/11/17 5:00,8,81.07,0.008208979
1/11/17 6:00,8,83.91,0.008496551
1/11/17 7:00,8,83.91,0.008496551
1/11/17 8:00,8,86.89,0.0087983
1/11/17 9:00,8,93.19,0.009436225
1/11/17 10:00,7.5,93.19,0.009136309
1/11/17 11:00,7,86.89,0.008246811
